pincode,LAT ,Long
144401,31.2529039,75.7614479
144402,31.2693,75.8021
144403,31.3047605,75.740812
144404,31.81726,75.657304
144405,31.80705,75.89078
144406,31.333595,75.909702
144407,31.34097,75.79195
144408,31.3488818,75.8688551
144409,31.1625,75.7777
144410,31.0369,75.8239
144411,31.251236,75.810582
144415,31.2496935,75.536277
144416,31.0842097,75.8778321
144417,31.0684,76.0024
144418,31.1788,75.6323
144419,31.0739246,75.9087038
144421,31.1100499,76.0356045
144422,31.0536,75.9645
144501,31.1942,75.8491
144502,31.170863,75.8395511
144503,31.2341,75.8912
144504,31.2724,75.8427
144505,31.2262,75.9572
144506,31.200577,76.0446127
144507,31.1264905,75.9478854
144508,31.300299,75.630428
144509,31.1544,75.9623
144510,31.2154284,76.0237241
144511,31.9755,76.0184
144512,31.1634,76.0435
144513,31.3417621,75.7580816
144514,31.6656,76.1667
144515,31.0803,76.1886
144516,31.1061283,76.1682585
144517,31.300299,75.630428
144518,31.0717191,76.0378146
144519,31.81726,75.657304
144520,31.58,75.84
144521,31.45,75.41
144522,31.25,75.14
144523,31.56,75.11
144524,31.26,75.25
144525,31.56,75.89
144526,31.87,74.96
144527,31.41,75.96
144528,31.81726,75.657304
144529,31.89,75.04
144530,31.69,75.81
144531,31.47,75.98
144532,31.46,75.64
144533,31.515963,75.904004
144601,31.38474,75.418102
144602,31.34831,75.41814
144603,31.38345,75.32705
144606,31.390201,75.337163
144620,31.384432,75.3813309
144621,31.61279,75.52751
144622,31.5871513,75.5067
144623,31.374928,75.384208
144624,31.5500729,75.3947656
144625,31.374925,75.384211
144626,31.2396,75.71091
144628,31.8475168,74.9851558
144629,31.8386422,75.6593711
144630,31.374928,75.384208
144631,31.61683,75.43249
144632,31.2227913,75.7764331
144633,31.18494,75.72812
144701,31.7829367,75.9898471
144702,31.7951057,75.6840693
144703,31.8362,75.6474
144801,41.4838,75.5189
144802,31.5424156,75.4355317
144803,31.4927899,75.4620901
144804,31.5423327,75.5058231
144805,31.48444,75.27555
144806,31.3967,75.45946
144819,31.5849331,75.4881959
145001,32.44,75.76
145002,32.409859,75.799058
145022,32.48,75.83
145023,32.35,75.7
145024,32.3544,75.6066
145025,32.28,75.5
145026,32.29,75.45
145027,32.32249,75.76902
145029,32.4,75.72
145101,32.16,75.65
146001,31.535157,75.915203
146021,31.527297,75.938578
146022,31.54,74.23
146023,31.518872,75.953916
146024,31.84,74.13
146101,31.56,75.84
146102,31.69,75.54
146103,31.52,75.45
146104,31.42,75.86
146105,31.74,75.52
146106,31.68,75.52
146107,31.84,75.84
146108,31.66,74.96
146109,31.53,75.45
146110,31.63,75.41
146111,31.85,75.42
146112,31.69,75.13
146113,31.94,75.79
146114,31.566037,75.751525
146115,31.557935,75.725509
146116,31.628549,75.709251
147001,31.3248611,76.3935278
147002,30.359985,76.453947
147003,30.3569167,76.4189167
147004,30.84,75.67
147005,30.35,76.3
147006,30.52,76.54
147007,30.44,76.13
147008,30.334492,76.385886
147021,30.41,76.47
147101,30.26,76.19
147102,30.07,76.13
147103,30.304376,76.454044
147104,30.53,76.3
147105,30.35,76.5
147111,30.2204,76.4964
147201,30.52,76.24
147202,30.74,76.3
147203,30.87,76.36
147301,30.67,76.21
148001,30.2473889,75.8388611
148002,42.056851,88.134591
148017,31.023277,75.507288
148018,30.4280277,76.0348333
148019,30.613364,75.875181
148020,34.010065,72.328153
148021,30.6914722,75.8301111
148022,31.12787,76.071825
148023,30.95701,75.815626
148024,35.308672,80.855191
148025,52.248923,6.536519
148026,32.599863,73.367922
148027,42.49461,71.193661
148028,30.52937,76.543766
148029,30.137231,75.677536
148030,75.199041,79.867887
148031,32.331683,74.370477
148033,30.425324,76.535095
148034,41.879375,73.47687
148035,46.459358,15.33444
148100,30.579556,75.447582
148101,30.434805,75.524758
148102,30.467801,75.276343
148103,35.477606,97.522279
148104,31.147183,75.293849
148105,31.832286,74.947853
148106,30.1961944,75.68175
148107,30.691981,75.796737
148108,43.19002,1.03203
148109,31.120189,74.619547
151001,30.2241,74.9592
151002,30.2607,74.8997
151003,30.25608,74.94534
151004,30.21006,74.98192
151005,31.6659,75.2494
151006,30.20509,74.94862
151007,30.2888867,74.8155712
151101,30.2376,75.0816
151102,30.3753,75.1151
151103,30.3181,75.2357
151104,30.3798,75.2027
151105,30.31511,75.19169
151106,30.43095,75.21968
151108,30.5657,75.1494
151111,30.2592,75.202
151201,30.3737,74.9884
151202,30.4570499,75.660073
151203,30.683489,74.760401
151204,30.582859,74.8175
151205,30.456607,74.982357
151206,30.4882,75.0451
151207,30.666707,74.749993
151208,30.52855,74.93097
151209,30.6391,74.8295
151210,30.2958,74.36929
151211,30.14212,75.18981
151212,30.708509,74.586133
151213,30.7303845,74.8761885
151214,30.814291,74.638555
151301,30.0662,74.9231
151302,30.9302,75.1939
151401,30.8557,74.8419
151501,30.2792,75.0158
151502,30.0515,75.6114
151503,29.8741,75.4607
151504,30.1264,75.5735
151505,30.5331,74.7118
151506,75.4454,29.8095
151507,29.9833,75.3832
151508,31.6688,74.7044
151509,30.1491,75.185
151510,30.1824,75.3383
